EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: D8-C8; OM: F1-D2; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: D8-E8; OM: G3-F3; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: E8-E7; OM: C1-D1; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: E8-D8; OM: C1-C2; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: E8-F8; OM: B1-C1; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: F8-F7; OM: F1-D2; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: F8-E8; OM: D1-D2; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: F8-G8; OM: C1-D1; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: G8-G7; OM: D2-D3; 
EM: B7-B6; OM: E1-F1; EM: B6-A6; OM: G2-G3; EM: G8-F8; OM: B2-A2; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: C6-C5; OM: D1-D2; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: C6-B6; OM: B2-B3; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: C6-D6; OM: C1-C2; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: C7-C6; OM: F2-E2; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: C7-B7; OM: C1-C2; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: C7-D7; OM: B1-C1; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: D7-D6; OM: B1-C1; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: D7-C7; OM: B1-C1; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: D7-E7; OM: C1-C2; 
EM: B7-B6; OM: E1-F1; EM: B6-C6; OM: G2-H2; EM: E7-E6; OM: B2-C2; 
