b0b0b0b0b0b0/1b0b0b0b0b0b01/8/8/8/1r06/2r0r0r0r0r01/r0r0r0r0r0r0, G2-G3
b0b0b0b0b0b0/1b0b0b0b0b0b01/8/8/8/8/1r0r01rrr0r01/r0r0r0r0r0r0, C1-C2
b0b0b0b0b0b0/1b0b0b0b0b0b01/8/8/8/8/1r0r0r0r0r0r01/r0rr1r0r0r0, C1-C2
b0b0b0b0b0b0/1b0b0b0b0b0b01/8/8/8/8/1r0r0r0r0rr2/r0r0r0r0r0r0, D2-D3
b01b0b0b0b0/1b0bbb0b0b0b01/8/8/8/1r06/2r01rrr0r01/r0r0r0r0r0r0, D1-D2
b01b0b0b0b0/1b0bbb0b0b0b01/8/8/8/1r06/2r0r0r0r0r01/r0rr1r0r0r0, B1-B2
b0b0b0b0b0b0/1b0b0b0b0b02/6b01/8/1r06/8/2r0r0r0r0r01/r0r0r0r0r0r0, C1-D1
b0b0b0b0b0b0/1b0b01b0b0b01/3b04/8/8/1r06/2r0r0r0rr2/r0r0r0r0r0r0, D3-D4
b02b0b0b0/1b0bbbbb0b0b01/8/8/1r06/8/2r01rrr0r01/r0r0r0r0r0r0, F2-E2
2b0b0b0b0/1bbbbb0b0b0b01/8/8/1r06/8/2r0r0r0r0r01/r0rr1r0r0r0, E2-D2
b01bbb0b0b0/1b0b0b0b0b02/6b01/1r06/8/8/2r0r0r0r0r01/r0r0r0r0r0r0, D2-C2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/1r06/8/2r0r0r0rr2/r0r0r0r0r0r0, C1-C2
b02b0b0b0/1b0bbbbb0b0b01/8/8/8/r07/2r01rrr0r01/r0r0r0r0r0r0, E1-E2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/r07/2r0r0r0rr2/r0r0r0r0r0r0, G2-G3
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/r07/8/2r0r0r0r0r01/r0r0r0r0r0r0, C2-C3
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/r07/2r0r0r0r0r01/r0rr1r0r0r0, E1-E2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/2r05/2r0r0r0rr2/r0r0r0r0r0r0, F2-E2
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/2r05/8/2r0r0r0r0r01/r0r0r0r0r0r0, E1-E2
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/2r05/2r0r0r0r0r01/r0rr1r0r0r0, G1-G2
b02b0b0b0/1b0bbbbb0b0b01/8/8/8/2r05/2r01rrr0r01/r0r0r0r0r0r0, B1-B2
b02b0b0b0/1b0bbbbb0b0b01/8/8/8/1r0r05/4rrr0r01/r0r0r0r0r0r0, D2-C4
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/1r0r05/3r0r0r0r01/r0rr1r0r0r0, G1-G2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/1r0r05/3r0r0rr2/r0r0r0r0r0r0, G1-G2
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/1r06/2r05/3r0r0r0r01/r0r0r0r0r0r0, E1-E2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/1r06/1r01r0r0rr2/r0r0r0r0r0r0, D4-D5
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/1r06/8/1r01r0r0r0r01/r0r0r0r0r0r0, B2-C2
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/1r06/1r01r0r0r0r01/r0rr1r0r0r0, C2-B4
b02b0b0b0/1b0bbbbb0b0b01/8/8/8/1r06/1r02rrr0r01/r0r0r0r0r0r0, B1-B2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/1r06/3rrr0rr2/r0r0r0r0r0r0, D4-D5
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/1r06/3rrr0r0r01/r0rr1r0r0r0, D1-E1
b02b0b0b0/1b0bbbbb0b0b01/8/8/8/1r06/3r0rrr0r01/r0r0r0r0r0r0, C2-D4
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/1r06/8/3rrr0r0r01/r0r0r0r0r0r0, F1-F2
b02b0b0b0/1b0bbbbb0b0b01/8/8/3r04/1r06/2r01r0r0r01/r0r0r0r0r0r0, D2-E4
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/1r01r04/2r01r0r0r01/r0rr1r0r0r0, F1-G1
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/1r01r04/2r01r0rr2/r0r0r0r0r0r0, D4-D5
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/1r06/3r04/2r01r0r0r01/r0r0r0r0r0r0, E1-E2
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/1r06/2rr1r0r0r01/r0rr1r0r0r0, F1-F2
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/1r06/8/2rr1r0r0r01/r0r0r0r0r0r0, E2-F2
b02b0b0b0/1b0bbbbb0b0b01/8/8/5r02/1r06/2r01r0r0r01/r0r0r0r0r0r0, C2-D4
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/1r06/2rr1r0rr2/r0r0r0r0r0r0, G1-G2
b0b0b0b0b0b0/1b0b01b0b0b01/8/3b04/8/1r06/2r01rrrr2/r0r0r0r0r0r0, E1-E2
b01bbb0b0b0/1b0b0b0b0b02/6b01/8/1r06/8/2r01rrr0r01/r0r0r0r0r0r0, B2-B3
2b0b0b0b0/1bbbbb0b0b0b01/8/8/8/1r06/2r01rrr0r01/r0rr1r0r0r0, D1-D2
